Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,R.J. McGinnis,7381,11.3,7.04,14.43,1.95,50.83,14.85,38.03,4.2,50.75,04:35.8
2,Frank Shotwell,7379,11.23,6.74,13.49,1.95,51.06,15.11,43.89,4.4,50.93,04:39.8
3,Dave Grzesiak,7364,11.42,6.77,12.48,2.04,49.93,15.35,39.19,4.7,48.37,04:36.7
4,Jack Szmanda,7116,11.42,6.78,12.94,1.95,50.37,15.59,35.36,4.8,44.92,04:44.7
5,Joey Schwecke,7101,10.93,7.07,12.79,1.98,51.47,16.28,39.9,4.3,47.17,04:54.2
6,Heath Nickles,6998,11.69,6.34,12.5,1.83,50.21,15.62,33.53,4.9,51.92,04:33.4
7,Anya Uzoh,6966,11.12,7.04,11.49,1.95,49.53,16.04,34.11,4.3,46.61,04:49.0
8,Seth Pelock,6862,11.5,6.62,13.24,1.89,51.63,15.17,37.9,4.2,42.88,04:45.2
