Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Heath Nickles,7208,11.8,6.39,12.59,1.88,50.7,15.22,35.48,5.05,57.92,04:37.9
2,Brock Spandl,7187,11.15,6.66,11,2,51.5,14.93,35.65,5.15,44.86,04:49.0
3,Dave Grzesiak,7138,11.62,6.29,13.08,1.91,49.84,15.33,35.57,4.65,51.72,04:30.7
4,Joey Schwecke,7047,11.01,6.91,12.91,1.97,52.12,16.11,37.57,4.35,51.81,04:57.6
5,Kurt Reichenbach,6936,11.44,6.57,10.89,1.94,50.48,15.45,34.68,4.65,47.19,04:41.2
6,Cliff Miller,6914,11.63,6.59,12.8,2.06,51.94,14.74,33.15,4.65,35.81,04:47.2
7,Jack Szmanda,6885,11.48,6.18,12.83,1.94,53.34,15.53,38.47,4.75,44.85,04:43.0
8,Kenny Schofield,6623,11.29,6.83,11.76,1.85,51.69,16.41,33.26,4.05,45.88,04:40.6
