Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Zach Ziemek,7640,10.6,7.65,12.94,1.91,50.46,15.1,40.43,5,53.84,05:16.4
2,Teran Walford,7432,10.99,6.87,12.37,1.88,49.1,14.77,40.14,4.3,49.29,04:24.8
3,Kurt Reichenbach,7412,11.18,7.02,12.38,1.94,50.2,15.36,36.7,4.5,56.04,04:29.6
4,Bjorn Barrefors,7369,11.03,7.15,14.15,1.88,52.13,14.58,42.03,4.8,49.33,05:14.9
5,Cory Kunze,7227,11.07,7.4,12.1,1.85,51.75,14.89,39.24,4.7,50.17,05:04.9
6,Kyle Reid,7203,10.95,6.56,11.54,1.73,49.34,15.24,33.48,5.1,47.6,04:24.9
7,Heath Nickles,7150,11.38,6.62,13.36,1.94,51.69,15.59,41.09,4.7,53.46,05:02.6
8,Dylan Anderson,7088,11.05,7.35,11.26,1.97,51.73,15.89,30.43,4.8,49.94,04:51.4
