Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Bjorn Barrefors,7897,11.04,7.57,13.49,2.02,50.22,14.46,46.27,5.06,46.29,04:53.4
2,Jack Szmanda,7862,11.14,6.93,13.81,1.96,50.01,14.99,42.4,5.16,54.44,04:27.9
3,Dave Grzesiak,7832,11.36,6.92,13.4,2.11,49.47,14.78,36.37,4.96,56.35,04:26.1
4,Derek Steinbach,7739,11.15,6.97,14.44,1.87,50.93,14.94,41.62,4.76,64.21,04:37.2
5,Heath Nickles,7635,11.43,6.68,13.14,2.02,50.01,15.13,38.85,5.16,56.69,04:37.9
6,Teran Walford,7272,11.18,6.64,11.84,1.96,49.2,14.73,34.01,4.46,48.94,04:27.8
7,Cory Kunze,7226,11.13,7.04,12.36,1.9,50.17,15.15,38.18,4.36,50.68,04:45.7
8,Ian Jansen,7165,11.54,7.15,11.92,1.87,51.14,15.83,40.22,4.76,48.14,04:36.9
