Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Luca Wieland,7635,10.78,7.51,14.87,2.05,51.19,14.99,41,4.55,48.21,05:06.6
2,Tim Ehrhardt,7349,10.96,7.26,12.22,1.84,48.88,16.53,37.97,5.25,44.34,04:42.5
3,Cody Walton,7232,11.4,6.52,12.72,1.93,50.37,14.93,42.93,4.25,58.28,04:55.5
4,Corey Hammon,7153,11.05,6.59,12.75,1.96,50.21,15.07,39.11,4.45,48.38,04:59.7
5,Guy Fenske,7142,11.01,6.79,12.49,1.9,50.81,17.12,38.56,4.45,55.39,04:32.3
6,Jack Eckert,7087,11.48,6.52,11.89,1.9,50.76,15.69,35.87,4.65,53.55,04:30.8
7,Dylan Anderson,7072,11.04,6.79,13.49,1.96,52.01,15.14,34.77,5.05,35.84,04:58.5
8,Charlie Foss,7047,11.08,6.74,12.25,1.93,51.91,15.15,38.09,4.25,55.69,05:03.1
