Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Luca Wieland,7784,10.83,7.71,14.43,2.06,50.67,14.9,44.53,4.31,50.5,04:56.6
2,Steven Bastien,7636,10.62,7.24,11.99,1.97,49,14.94,36.25,4.71,51.43,04:37.4
3,Cody Walton,7620,10.98,6.79,12.74,1.91,49.55,14.45,38.97,4.81,63.51,04:56.9
4,Brandon Mortensen,7335,11.17,7.3,12.13,2,52.61,15.29,39.75,4.51,56.35,04:54.7
5,William Dougherty,7311,11.1,6.77,13.13,1.88,50.13,15.12,39.94,4.31,51.9,04:34.9
6,Trent Nytes,7224,11.02,7.13,12.84,2.12,51.42,15.78,42.04,4.21,42.34,04:55.7
7,Charlie Foss,7085,10.99,7.11,12.45,1.85,52.23,14.88,37.72,4.31,53.42,05:03.9
8,Cale Wagner,7057,10.79,7.25,12.15,1.97,50.64,15.89,31.76,4.11,46.57,04:41.9
