Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Ryan Talbot,8064,10.6,7.06,13.2,1.91,47.82,14.83,47.98,5.2,53.32,04:44.0
2,Austin West,7703,10.68,7.02,13.97,1.91,47.18,14.79,39.74,4,60.07,04:42.7
3,Heath Baldwin,7650,11.17,6.68,14.8,2.03,51.87,14.68,41.04,4.6,59.64,04:44.4
4,Isaiah Martin,7590,11.02,6.78,13.46,1.91,50.52,14.44,43.76,4.3,59.22,04:40.7
5,Till Steinforth,7427,10.88,7.1,12.29,1.88,50.38,14.59,43.13,4.6,48.92,04:54.2
6,Mason Mahacek,7349,10.94,6.44,12.48,2,49.51,15.65,40.44,4.8,46.22,04:39.0
7,Aiden Ouimet,7153,10.94,6.68,13.33,1.85,50.33,15.22,33.61,4.7,50.37,04:51.1
8,Jack Herkert,7021,11.31,6.85,12,1.97,52.4,14.57,36.36,4.5,45.2,04:54.8
