Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Steven Bastien,7713,10.88,7.01,12.84,1.94,48.12,14.86,38.37,4.7,55.88,04:36.0
2,Cody Walton,7619,11.23,6.98,13.8,1.97,50.82,14.85,41.18,4.7,69.38,05:15.4
3,Sawyer Smith,7249,11.04,6.77,13.78,1.88,49.98,15.86,42.62,4.6,53.04,05:07.3
4,Trent Nytes,7086,11.04,7.31,13.11,2.09,52.89,15.25,38.82,4.2,40.85,05:08.6
5,Paul Afflitto,6945,11.1,6.61,12.88,1.88,50.2,15.53,34.87,4.3,53.32,05:04.4
6,Andrew Huber,6853,11.36,6.72,11.64,1.88,50.65,15.71,34.67,4.4,49.42,04:49.2
7,Nick Guerrant,6838,11.29,6.63,12.94,2,51.17,15.52,29.9,4,51.21,04:51.0
