Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Rafael Raap,7572,11.17,6.99,13.81,1.9,51.59,15.2,45.42,4.7,59.57,04:50.8
2,Jami Schlueter,7418,10.87,6.91,13.66,1.9,49.55,14.47,39.21,4.4,46.2,04:44.6
3,Garrett Messer,7404,10.99,6.71,13.95,1.9,48.69,14.62,43.08,4.3,41.83,04:39.1
4,Koby Kessler,7303,10.69,7.37,12.41,2.02,51.62,15.15,33.61,4,44.42,04:23.9
5,Brayden Bergkamp,7221,11.09,6.71,12.45,1.93,50.26,14.95,34.66,4.5,54.41,04:48.1
6,Sal Capaldo,7193,10.83,6.76,11.92,1.96,49.68,14.61,35.96,4.3,43.03,04:41.4
7,Dylan Terryberry,7140,11.33,6.67,13.68,1.84,51.48,15.25,40.8,4,58.09,04:41.7
8,Aiden Carter,7058,11.28,7.12,12.41,1.87,50.44,14.91,31.4,4.7,47.61,04:56.3
