Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Axel Hubert,7810,11.09,7.36,14.08,1.83,49.99,14.45,40.92,4.75,62.11,04:42.6
2,Aaron Booth,7602,10.95,6.89,13.55,1.92,50.42,15.69,43.32,4.55,61.08,04:39.0
3,Simone Fassina,7390,11.22,7.07,14.25,1.98,51.23,15.18,40.64,4.45,54.36,05:00.8
4,Kyle Parr,6504,11.54,6.85,11.51,1.86,51.37,15.33,31.2,3.75,41.43,04:42.8
5,Max Estill,6351,11.19,6.67,10.68,1.98,51.97,15.82,32.65,4.05,42.19,05:33.2
7,Cole Verble,6204,11.91,6.42,12.6,1.83,55.59,17.06,35.85,4.45,46.7,05:10.6
8,Jake Dyer,6163,11.04,6.74,13.83,1.71,53.48,16.23,37.79,3.15,39.75,05:16.6
