Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Johannes Hock,7367,11.11,6.75,13.56,1.81,51.39,15.28,47.78,4.5,55.32,04:50.0
2,Wolf Mahler,7305,10.68,6.43,11.48,1.81,48.01,15.37,35.97,4.8,46.58,04:22.4
3,Taylor Sanderson,7301,11.09,7.01,12.59,1.87,50.32,15.09,42.34,4.2,50.92,04:38.7
4,Thomas Cheval,7187,10.96,7.1,12.77,1.96,49.65,15,38.08,4.2,45.64,05:00.9
5,Adam Deterding,6995,11.28,6.69,12.86,1.93,49.79,14.74,33.35,3.7,52.47,04:43.2
6,Tyler Nelson,6773,10.95,6.82,13.08,1.84,50.83,15.46,35.9,3.8,47.23,05:04.7
7,Hunter Brook,6676,11.45,6.75,13.37,1.93,53.23,16.3,38.97,3.9,50.47,05:05.8
8,Steven Jazdyk,6533,10.89,6.35,11.22,1.81,52.53,15.49,29.11,4.5,48.05,05:05.4
