Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Taylor Sanderson,7204,10.93,6.96,12.72,1.93,50.88,14.62,41.88,3.8,50.64,04:52.9
2,Reese Thompson,7015,10.9,6.81,11.7,1.75,51.48,14.67,35.41,4.7,46.1,04:48.2
3,Michael Samuels,6812,11.35,6.84,12.49,2.05,54.48,15.74,36.63,3.8,50.22,04:47.5
4,Adam Deterding,6811,11.24,6.29,13.02,1.87,49.9,14.78,33.74,3.5,49.58,04:36.8
5,Hunter Powell,6636,11.17,6.06,12.53,1.75,49.55,16.29,35.67,4.2,50.52,04:51.8
6,Dylan Poirier,6568,10.93,6.8,10.95,1.72,52.37,15.1,33.69,4.8,40.17,05:21.1
7,Wyatt Rhoads,6494,11.42,6.32,10.88,1.75,50.5,15.53,30.8,4,47.16,04:33.6
8,Chase Hood,6463,11.35,6.63,11.66,1.9,54.66,16.49,29.08,4.9,52.79,05:29.1
