Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Ben Barton,7865,10.55,7.26,13.69,2.05,48.2,14.39,38.88,4.41,49.56,04:39.3
2,Grant Levesque,7848,10.59,7.1,12.99,1.9,49.09,14.18,39.83,5.11,52.18,04:46.3
3,Tayton Klein,7629,10.7,7.31,11.82,1.93,48.82,15.2,40.55,4.61,51.74,04:37.0
4,Alexander Jung,7532,10.96,6.82,14.55,1.84,50.22,14.86,46.81,4.51,51.64,04:50.3
5,Nick Bianco,7397,11.28,7.1,11.93,1.93,50.72,14.76,35.97,5.01,47.98,04:36.6
6,Thai Thompson,7322,10.76,6.95,12.59,1.87,48.23,15.4,33.6,4.71,44.93,04:36.3
7,Conor Dunback,7231,11.02,6.64,11.98,1.81,49.52,15.82,38.69,4.51,55.99,04:31.2
8,Justin Abrams,7169,10.96,6.96,12.03,2.02,50.36,15.19,35.92,4.91,41.98,05:09.9
