Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Lars Rise,7808,11.26,7.34,15.04,1.96,50.77,15.42,46.25,4.53,59.6,04:40.6
2,Kenny Greaves,7583,11.43,6.64,13,1.93,49.22,15.41,42.08,5.03,51.71,04:23.6
3,Moritz Cleve,7543,11.2,6.7,13.9,1.84,49.4,14.81,40.33,4.63,55.47,04:29.9
4,Isaac Murphy,7535,10.74,6.7,12.79,1.87,48.74,14.86,41.9,4.63,50.18,04:37.2
5,Bjorn Barrefors,7417,11.3,7.31,13.96,2.02,51.08,14.89,40.88,4.83,40.21,04:57.8
6,William Markert,6948,11.61,6.17,14.73,1.9,53.04,15.5,43.87,4.43,52.04,05:04.5
7,Adam Salzmann,6899,11.15,6.21,11.55,1.87,48.93,15.3,30.09,4.33,45.76,04:22.8
8,Teran Walford,6816,11.61,6.83,10.86,1.87,50.72,15.25,32.03,4.33,45.78,04:30.1
