Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Nick Adcock,7704,11.1,6.91,13.48,2.01,48.64,14.26,39.02,4.7,50.89,04:40.2
2,Lars Rise,7695,11.36,7.14,15.88,1.89,50.34,15.24,42.15,4.7,56.99,04:40.5
3,Trinity Otto,7270,10.82,6.97,14.21,1.83,49.02,15.1,37.36,4.7,47.79,05:13.3
4,Adam Salzmann,6879,11.24,6.09,10.85,1.8,49.34,15.3,35.59,4.7,43.31,04:28.1
5,Teran Walford,6731,11.53,6.27,11.1,1.89,50.19,15.33,33.67,4.2,48.53,04:38.7
7,Eddie Taylor,6212,11.42,5.94,11.77,1.83,51.12,16.92,29.91,4,37.44,04:30.5
