Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Kristo Simulask,7926,10.52,7.37,13.91,2.02,49,14.81,40.76,4.81,49.89,04:44.1
2,Alexander Jung,7606,11.04,7,13.17,1.9,50.44,14.68,38.05,5.01,55.83,04:44.5
3,Tejaswin Shankar,7592,10.85,7.63,13.77,2.17,50.15,14.66,35.35,3.81,44.95,04:36.1
4,Emil Uhlin,7587,11.29,6.95,13.3,2.02,50.56,16.86,43.22,4.91,57.89,04:31.8
5,Denim Rogers,7520,10.58,6.69,13,2.02,48.5,14.06,29.65,4.41,52.41,04:42.2
6,Phillip Frank,7188,10.72,6.79,12.04,1.96,49.7,14.75,35.36,4.51,41.45,04:49.9
7,Gary Haasbroek,7149,10.77,7.48,12.17,2.05,48.96,14.49,41.38,4.81,35.11,06:32.1
8,Max Braht,7042,11.07,6.49,11.34,1.84,50.24,15.16,36.5,4.41,52.06,04:37.9
