Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Alexander Jung,7706,11.06,6.74,13.11,1.86,49.32,14.44,42.98,5,54.16,04:36.3
2,Dominique Hall,7649,10.91,6.96,12.59,1.89,47.94,14.88,40.92,4.9,44.81,04:26.8
3,Joel McFarlane,7613,10.95,6.82,13.87,1.89,47.96,15.08,39.8,4.5,54.67,04:34.4
4,Jaden Roskelley,7325,11.03,6.99,12.7,1.98,50.63,14.62,43.58,3.8,48.14,04:39.6
5,Philip Frank,7271,10.88,6.91,12.61,1.95,49.99,14.86,38.28,4.2,45.78,04:40.2
6,Justin Abrams,7072,11.02,6.84,12.18,1.92,52.13,15.05,35.03,5,37.87,04:45.7
7,Brock Lewis,7067,11.29,6.82,11.66,1.8,50.54,14.9,36.1,4.4,47.68,04:27.3
8,Ayomide Ogunbunmi,6865,11.33,6.58,13.47,1.92,51.41,15.88,40.53,3.6,47.79,04:37.5
