Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Devin Dick,7792,11.29,7.21,14.67,2.05,49.41,14.75,35.96,4.79,52.77,04:32.1
2,Reinis Kregers,7618,11.34,7.09,13.19,1.96,49.96,15.31,45.84,4.39,60.7,04:42.7
3,Wolf Mahler,7602,10.86,6.93,11.98,1.84,47.27,14.84,40.09,4.79,49.44,04:30.5
4,Henry Vildosola,7344,11.36,6.89,13.16,1.93,50.55,15.58,39.53,4.59,53.11,04:35.4
5,Taylor Sanderson,6925,11.27,7.06,11.61,1.9,51.31,15.27,35.81,3.89,50.36,04:42.2
6,Adam Deterding,6498,11.59,6.74,12.46,1.87,51.28,15.21,32.35,3.19,48.19,04:47.6
7,Cameron Knight,5020,12.14,5.91,8.82,1.9,53.4,17.14,23.54,2.39,35.54,05:12.4
