Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Steele Wasik,7715,11,7.27,14.04,2.05,50.09,14.36,39.66,4.61,59.19,05:14.6
2,Chase Hood,7083,11.01,6.97,12.65,1.93,52.07,15.33,36.96,4.71,57.85,05:36.3
3,Steven Jazdyk,7003,10.6,7.17,11.78,1.81,52.94,14.61,28.64,5.01,51.59,05:25.1
4,Erin Lopez,6944,10.85,7.42,11.36,1.93,49.49,15.02,32.89,3.81,43.99,05:00.8
5,Luke Littlefield,6830,10.88,6.84,11.85,1.9,51.55,15.21,37.29,4.71,37.66,05:20.8
6,Hunter Powell,6804,10.98,6.18,12.39,1.72,49.39,16.2,39.52,4.61,49,05:02.1
7,Wyatt Rhoads,6638,11.25,6.42,10.05,1.84,49.8,15.44,33.52,3.81,47.73,04:32.5
8,Dylan Poirier,6532,10.87,6.97,11.99,1.84,52.71,17.3,28.63,5.01,43.89,05:23.6
