Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Leo Neugebauer,7793,10.95,7.43,14.53,1.99,50.45,15.1,48.52,4.91,46.41,05:00.4
2,Kristo Simulask,7391,10.76,6.81,13.47,2.02,51.29,15.38,37.66,4.71,45.86,04:42.9
3,Matas Adamonis,7237,11.44,7.1,14.5,1.9,52.38,15.31,43.74,4.21,55.27,05:00.5
4,Fynn Zenker,7007,11.38,6.73,12.98,1.84,51.06,16.68,40.16,4.81,52.8,04:56.8
5,Alex Loving,6976,10.98,7.11,12.46,1.93,54.57,15.53,35.72,4.91,55.03,05:36.0
6,Kale Mauritsen,6731,10.91,7.2,10.2,1.84,51.47,15.2,31.49,4.31,41.91,04:55.4
7,Max Braht,6590,10.93,6.68,12.03,1.84,54.04,16.55,31.09,4.31,53.09,04:58.0
8,Jake Dyer,6570,11.05,6.82,13.21,1.81,52.8,16.19,38.91,3.71,46.02,05:06.6
