Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Johannes Hock,8293,10.78,7.46,15.4,1.94,49.8,14.86,53.85,4.69,63.63,04:45.8
2,Reinis Kregers,7406,11.27,6.93,13.43,1.97,50.96,15.51,46,4.19,55.04,04:43.8
3,Tomas Kirielius,7189,11.32,6.44,13.59,1.88,51.33,15.54,47.32,4.29,68.35,05:30.3
4,Ethan Wilkins,6954,11.12,6.82,12.64,1.91,49.89,14.44,28.11,3.99,44.85,04:38.7
5,Jake Wohlford,6952,10.81,6.45,10.35,1.85,50.07,14.37,33.18,4.09,50.86,04:40.3
6,Tony Granillo,6898,11.44,6.6,12.28,1.91,53.59,15.64,39.81,4.09,53.04,04:37.0
7,Devin Dick,6843,11.31,6.99,13.17,1.91,52.17,15.1,27.81,4.59,48.67,05:09.5
8,Henry Vildosola,6836,11.59,6.84,12.58,1.88,52.64,16.07,36.01,4.19,50.72,04:35.1
