Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Maicel Uibo,7781,11.02,7.53,13.56,2.03,50.61,14.78,41.32,4.75,57.15,04:58.6
2,Kevin Lazas,7579,10.93,7.39,14.52,1.97,52.33,15.19,40.57,4.85,55.19,05:07.9
3,Nathanael Franks,7520,11.13,7.07,13.36,1.97,49.2,15.59,40.27,4.25,51.66,04:23.2
4,Ser Whitaker,7047,11.03,6.88,12.8,1.88,50.59,14.87,37.95,3.55,60.18,05:02.8
6,Devon Williams,6765,10.88,6.84,11.13,1.85,49.73,15.03,35.35,3.95,47.97,05:16.1
7,Parker Shearer,6661,11.68,6.76,12.2,2,52.79,15.42,34.76,3.75,47.83,04:51.1
8,Peyton Moss,6543,11.27,6.17,11.67,1.94,52.14,15.56,31.73,4.25,43.91,04:54.0
