Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Lindon Victor,8446,10.72,7.09,15.73,2.02,48.33,14.7,54.56,4.55,68.96,04:47.1
2,Maicel Uibo,8315,11.13,7.36,14.98,2.11,50.97,14.84,44.92,5.05,64.2,04:27.9
3,Devon Williams,8116,10.7,7.39,13.95,1.93,48.51,14.03,42.4,4.65,58.59,04:33.1
4,Tim Duckworth,7709,10.85,7.44,11.17,2.11,51.21,14.84,39.79,5.05,55.01,05:00.8
5,Ibn Short,7588,11.12,7.18,14.37,2.11,50.83,14.73,40.58,4.35,53.58,05:02.3
6,Ser Whitaker,7488,10.81,7.05,13.52,1.93,50.74,14.6,34.38,4.55,60.21,04:57.7
7,Derek Jacobus,7356,10.91,7.25,11.95,1.93,48.58,15.7,37.55,4.35,45.22,04:27.4
8,Lane Austell,7276,11.13,6.72,12.44,1.84,49.75,15.01,37.8,4.55,51.75,04:34.1
