Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Marcus Weaver,7940,11.29,6.96,14.85,2.01,50.46,14.86,46.62,4.45,68.41,04:40.9
2,Maximus Tucker,7437,11.09,6.65,14.13,1.92,47.7,15.94,37.82,3.95,51.79,04:08.1
3,Jordan Fick,7401,10.93,6.99,12.34,1.83,48.48,15.04,38.31,4.55,53.55,04:43.8
4,John Murray,7315,11.01,6.98,15.66,1.92,52.22,15.25,44.63,3.95,63.07,05:28.6
5,Brock Lewis,7259,11.22,6.97,11.93,1.83,49.79,14.94,37.59,4.65,49.5,04:36.4
6,John Landers,7233,11.12,6.67,11.49,1.83,48.97,15.56,35.82,4.75,46.97,04:17.2
7,Cooper Williams,6772,11.49,7.08,11.72,1.95,50.21,15.46,34.38,3.25,49.49,04:38.9
