Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Nathan Hite,7468,10.63,6.77,13.95,1.88,49,14.9,39.07,4.4,53.74,04:53.5
2,Karel Tilga,7236,10.99,7.36,14.21,1.94,49.58,15.44,41.67,4.3,28.32,04:40.8
3,Chris Stone,7212,11.14,6.78,12.45,1.88,52.31,15.04,39.91,4.7,60.87,05:10.4
4,Jason Edwards,6685,11.14,6.6,12.65,1.88,52.58,15.97,32.18,4.4,55.65,05:20.7
6,Siegfried Zoller,6157,10.98,6.46,11.44,1.85,50.29,15.41,28.17,2.9,36.41,04:51.8
7,Daniel Spejcher,5960,11.1,6.47,12.81,1.76,59.48,16.56,38.94,3,50.09,05:12.5
8,Benjamin Womble,5769,11.32,6.08,11.05,1.67,53.46,18.12,35.1,3.8,47.28,05:19.2
