Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Kyle Garland,8196,10.89,7.58,14.98,2.16,50.4,14.37,44.37,4.7,55.35,04:44.7
2,Alex Spyridonidis,7618,11.16,7.25,13.67,1.95,50.9,14.7,42.18,5.1,53.28,05:09.6
3,Daniel Spejcher,7479,10.89,6.94,12.04,1.83,49.86,14.69,41.33,4.9,53.94,04:52.1
4,Tyler Brendel,7471,10.9,6.83,12.92,1.83,51.36,14.66,39.77,4.8,51.75,04:32.0
5,Jacob Spotswood,7172,11.55,6.88,12.77,1.95,52.12,14.98,38.22,4.8,49.08,04:51.3
6,Peyton Davis,6952,11.8,6.76,11.93,1.86,51.94,15.39,37.11,4.2,55.31,04:29.8
7,Elisha Brooks,6737,10.9,6.6,12.44,1.74,49.99,14.53,35.74,3.6,46.54,04:57.2
8,David Edmondson,6626,11.07,6.98,11.9,2.1,50.26,16.41,30.05,3.5,44.53,05:05.1
