Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Karl Saluri,7934,10.52,7.54,14.04,1.85,48.52,14.82,41.05,4.3,59.67,04:30.4
2,Gabe Moore,7901,10.69,7.2,14.23,1.91,49.33,14.69,48.28,4.5,57.66,04:51.2
3,Nathan Hite,7723,10.66,7.12,14.32,1.91,49.66,15.04,43.7,4.4,57.89,04:49.8
4,Derek Jacobus,7555,10.88,7.35,12.96,1.91,50.2,15.76,37.44,4.6,55.01,04:29.1
5,Rauno Liitmae,7524,11.33,6.8,14.27,1.97,51.6,15.19,39.15,4.5,67,04:48.5
6,Chris Stone,7062,11.08,6.73,10.96,1.97,52.33,15.15,39.53,4.7,55.37,05:16.8
7,Jason Edwards,6569,11.36,6.54,12.22,1.88,52.35,16.04,28.88,4.5,55.55,05:19.2
