Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Maicel Uibo,8326,11.19,7.44,14.16,2.18,50.89,15.01,48.33,5.2,56.92,04:28.6
2,Zach Taylor,7466,10.65,6.7,11.62,1.85,48.57,15.24,40.86,4.4,52.52,04:23.5
3,Markus Leemet,7372,10.94,6.9,13.69,1.85,49.36,15.14,36,4.4,56.91,04:45.5
4,Nathanael Franks,7343,11.37,6.75,13.07,1.88,49.75,15.67,42.64,4.4,51.16,04:23.4
5,Tim Duckworth,7156,11.13,7.1,11.05,2.03,51.51,14.87,37.48,4.6,53.15,05:18.9
6,Nathan Donnellon,7112,11.32,6.73,12.03,1.76,49.91,16.22,47.98,4.3,55.47,04:46.1
7,Parker Shearer,7091,11.56,6.94,13.55,1.97,51.5,15.01,39.72,4.2,46.1,04:50.3
8,Coren Crompton,7021,11.2,6.3,11.39,1.94,49.63,15.16,36.65,4.5,51.85,04:53.4
