Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Gray Horn,7828,11.02,7.43m,13.13m,1.94m,49.8,14.25,41.82m,4.80m,51.88m,04:37.3
2,Kevin Lazas,7703,10.94,7.12m,13.25m,1.97m,51.21,15.33,41.54m,5.10m,56.09m,04:46.0
3,Tommy Barrineau,7654,10.95,6.72m,13.16m,1.91m,48.69,15.24,40.69m,4.80m,57.50m,04:35.5
4,Michael Ayers,7647,10.65,7.51m,12.88m,1.91m,48.99,15.34,38.97m,4.80m,50.73m,04:49.2
5,Terry Prentice,7199,11.37,7.18m,11.97m,2.06m,50.73,14.62,32.79m,4.40m,45.80m,04:45.9
6,Tevarus Christian,6900,10.66,7.41m,9.67m,2.00m,49.09,15.14,31.04m,4.00m,39.79m,05:01.8
7,Matt Kirbos,6887,11.29,6.95m,11.58m,1.88m,52.77,15.24,36.66m,4.70m,46.80m,05:03.1
8,David Silverstein,6755,11.48,6.60m,12.85m,1.82m,50.47,15.23,34.72m,4.10m,49.70m,04:57.6
