Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Johannes Erm,8132,10.5,7.16,14.6,1.91,47.52,14.58,45.18,4.95,52.65,04:38.6
2,Daniel Spejcher,7695,10.99,6.98,14.48,1.91,49.35,14.77,41.06,4.65,57.6,04:48.6
3,Yariel Soto,7600,10.75,7.31,12.44,1.94,48.62,15.92,40.75,4.85,48.59,04:40.2
4,Noah Swaby,7302,11.21,6.38,14.47,1.85,51.07,15.2,47.4,4.15,56.06,04:45.5
5,Peyton Davis,7246,11.46,7.03,11.7,2,50.24,15.55,37.75,4.25,55.42,04:35.5
6,John Murray,7073,10.93,6.63,14.36,1.94,50.2,15.66,41.84,4.15,52.23,05:27.6
7,David Edmondson,6891,10.77,6.89,12.16,2,49.17,15.28,31.63,3.75,43.58,04:59.5
