Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Maicel Uibo,7863,11.22,7.29,14.26,2.05,50.98,15.24,48.58,5.2,49.04,04:53.8
2,Garrett Scantling,7675,11.08,6.76,12.59,2.02,50.15,14.31,40.41,4.9,63.1,05:05.2
3,Nathanael Franks,7188,11.54,6.71,12.76,1.84,49.95,15.43,42.56,4.4,49.11,04:29.8
4,Alexandre Asselin,6995,11.21,7.18,12.19,1.84,50.34,15.24,34.45,4.5,47.33,04:59.4
5,Ibn Short,6942,11.15,6.81,12.3,2.08,50.91,14.96,35.25,3.5,47.37,04:50.6
6,Parker Shearer,6843,11.63,6.77,12.64,1.99,53.3,15.33,40.46,4.2,43.65,04:53.4
7,Nathan Donnellon,6788,11.44,6.62,12.03,1.75,51.54,16.64,42.54,4.4,50.78,04:44.7
8,Zach Taylor,6764,10.92,6.74,10.24,1.84,49.71,16.46,28.99,4.3,46.12,04:24.0
