Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Tanner Johnson,7281,11.44,6.92m,12.30m,1.90m,51.12,15.79,38.44m,4.67m,57.12m,04:33.3
2,Ian Rock,7260,11.53,6.79m,11.53m,1.90m,49.84,15.63,36.62m,4.97m,56.31m,04:39.7
3,Jack Lint,7179,11.15,6.71m,12.01m,1.90m,49.79,15.27,41.20m,4.27m,50.02m,04:41.1
4,Paul Haley,7098,11.12,7.21m,11.96m,1.96m,49.86,14.75,32.52m,4.07m,47.29m,04:48.4
5,Robert Rohner,7070,10.71,6.65m,13.78m,1.93m,49.45,16.18,33.58m,4.27m,43.81m,04:40.4
6,Luke Gallaher,6884,11.05,6.78m,11.82m,2.05m,50.95,15.72,33.66m,3.57m,57.78m,05:01.9
7,Brent Swanberg,6864,11.82,6.80m,12.96m,1.90m,51.81,15.38,33.20m,4.37m,47.47m,04:38.0
8,Christian Lavorgna,6768,11.49,6.33m,12.42m,1.87m,50.76,15.52,34.20m,4.27m,47.37m,04:40.8
