Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Daniel Golubovic,7493,11.34,6.56m,13.41m,1.93m,50.7,15.08,46.68m,4.40m,61.46m,04:45.0
2,Jack Lint,7263,11.05,6.84m,12.69m,1.90m,49.77,14.89,40.87m,4.30m,52.06m,04:55.8
3,Eric Fox,7176,11.39,6.71m,12.89m,1.96m,51.23,15.59,35.91m,4.90m,49.96m,04:47.0
4,Dante Newberg,7113,10.73,7.13m,12.24m,1.99m,53.44,15.52,38.08m,4.00m,57.75m,05:04.6
5,Grant Rivers,6832,11.68,6.63m,12.02m,2.02m,53.22,15.31,38.68m,4.10m,52.64m,04:59.1
6,Mackenzie Muldoon,6758,11.54,6.87m,12.44m,1.81m,51.97,15.41,34.77m,4.30m,46.02m,04:45.9
7,Jack Claiborne,6294,11.31,6.64m,10.22m,1.87m,50.94,16.26,33.00m,4.00m,38.75m,05:02.6
