Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Edgar Campre,7661,10.8,7.03m,14.62m,1.83m,48.84,14.3,43.61m,4.42m,52.26m,04:51.0
2,Sean Murphy,7532,11.08,6.87m,14.49m,1.95m,49.24,15.46,38.49m,4.42m,58.45m,04:43.4
3,Ethan Robinson,7435,10.69,6.69m,12.07m,1.95m,48.09,14.37,38.68m,4.32m,50.66m,04:50.1
4,Sam Corley,7424,11.12,6.89m,11.74m,1.98m,49.31,15.34,40.89m,4.62m,50.48m,04:37.7
5,Max Stakun-Pickering,7182,11.16,6.40m,13.58m,1.80m,50.18,15.12,41.47m,4.32m,52.77m,04:40.2
6,Michael Bennett,7108,10.83,6.69m,12.65m,1.80m,48.35,15.19,36.37m,3.82m,49.83m,04:32.1
7,David Frasier,6922,11.1,6.63m,13.41m,1.83m,51.67,14.43,40.48m,3.92m,50.55m,05:13.0
8,Isaac Young,6808,11.75,6.61m,11.95m,1.92m,51.19,15.75,37.43m,4.42m,51.22m,04:58.1
