Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Evan Lee,7300,11.11,6.66m,13.75m,1.92m,49.06,15.65,34.72m,4.70m,49.45m,04:37.1
2,William Ott,6764,11.04,6.89m,10.88m,1.86m,49.03,15.76,31.02m,4.10m,51.05m,05:01.3
3,James Holt,6132,11.35,6.72m,11.64m,1.74m,53.37,15.79,31.56m,4.30m,30.04m,05:07.5
4,Justin Lehmkuhler,5997,11.79,6.58m,11.31m,1.92m,55.72,15.5,23.01m,3.90m,43.23m,05:06.3
5,John Manilli,5830,11.56,6.36m,11.37m,1.77m,51.58,16.46,27.22m,3.50m,36.84m,05:03.4
