Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Paul Kallenberg,7944,10.98,7.14m,14.43m,1.95m,48.36,15,46.58m,4.90m,56.09m,04:50.0
2,Kenneth Byrd,7849,10.89,7.31m,12.64m,2.13m,48.89,14.84,40.40m,5.20m,48.71m,05:00.6
3,Max Stakun-Pickering,7596,10.85,6.57m,14.32m,1.89m,47.67,14.78,36.33m,4.80m,50.38m,04:36.5
4,Sam Corley,7595,11.02,7.16m,12.13m,1.98m,48.36,15.08,39.19m,4.50m,53.05m,04:34.8
5,Michael Bennett,7385,10.78,6.85m,12.99m,1.86m,47.85,14.5,38.83m,4.20m,47.22m,04:42.8
6,Nathaniel Paris,7335,10.58,7.40m,12.43m,1.95m,47.68,14.73,33.73m,4.20m,50.70m,05:18.0
7,Gage Knight,6858,10.72,7.16m,12.09m,1.89m,47.89,14.92,32.78m,3.30m,41.80m,04:57.5
8,Henry Sullivan,6533,11.38,6.12m,11.96m,1.77m,50.34,14.65,33.95m,4.10m,42.65m,04:57.2
