Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Robert Rohner,7233,10.73,6.84m,12.69m,1.89m,48.62,16.18,37.95m,4.15m,53.69m,04:42.5
2,Ian Rock,7122,11.34,6.79m,11.59m,1.80m,49.77,15.62,32.84m,5.05m,54.15m,04:42.4
3,Curtis Beach,6997,11.02,7.28m,11.09m,1.83m,49.38,15.51,32.52m,4.45m,32.48m,04:17.3
4,Joe Hutchinson,6862,11.18,6.62m,13.84m,1.77m,50.58,14.78,39.72m,3.75m,47.39m,04:57.8
5,Ryan Ramsey,6809,10.85,6.83m,11.49m,1.89m,50.24,16.53,31.03m,4.75m,41.16m,04:52.3
6,Paul Haley,6775,11.38,6.73m,10.90m,1.92m,50.18,14.62,30.71m,4.05m,49.14m,04:55.0
7,Luke Gallaher,6622,11.39,6.72m,11.07m,2.10m,52.19,16.59,34.14m,3.35m,56.89m,04:55.3
8,Christian Lavorgna,6561,11.69,6.18m,11.22m,1.89m,52.05,15.98,34.14m,4.25m,51.05m,04:42.9
