Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Joe Hutchinson,7103,11.1,6.77m,13.82m,1.93m,50.53,14.14,38.56m,4.00m,45.62m,05:06.1
2,Ryan Ramsey,6769,10.97,6.95m,11.69m,1.81m,49.6,16.47,29.23m,4.40m,48.75m,04:51.1
3,Paul Haley,6735,11.28,7.14m,11.62m,1.90m,49.72,14.87,30.43m,3.40m,47.67m,04:50.7
4,Christian Lavorgna,6491,11.61,6.21m,10.39m,1.81m,51.17,15.82,31.83m,4.30m,46.63m,04:32.5
5,Chad Pierce,6399,11.83,6.27m,9.56m,1.93m,51.85,15.42,30.86m,4.70m,29.74m,04:30.2
6,Matt Hoogland,6047,12.01,6.16m,10.59m,1.72m,53.75,16.95,33.04m,4.30m,42.11m,04:34.2
7,John Michael Pirtle,5784,11.33,6.39m,11.69m,1.72m,54.54,16.95,31.72m,3.80m,35.77m,05:13.1
