Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Jaelyn Demory,6982,11.01,6.61m,12.20m,1.69m,49.49,15.01,34.95m,4.90m,44.67m,04:51.9
2,David Lott,6682,11.68,6.71m,11.73m,1.84m,51.54,14.97,38.22m,3.80m,49.15m,04:52.1
3,Sean Murphy,6588,11.51,6.52m,12.21m,2.02m,50.74,16.17,28.08m,3.70m,53.06m,04:52.4
4,Michael Johnson,6493,11.04,6.75m,11.74m,1.93m,51.55,15.15,30.25m,3.40m,44.72m,05:03.0
6,Hunter Napier,6249,11.51,6.19m,11.35m,1.81m,52.46,17.71,34.97m,4.40m,50.83m,05:07.8
7,Dominic McClinton,6138,11.12,6.84m,10.41m,1.96m,51.27,15.61,27.33m,3.20m,35.30m,05:06.1
,,,,,,,,,,,,
