Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Felix Wolter,7880,10.63,7.65m,12.60m,1.95m,48.5,14.57,36.83m,4.85m,53.86m,04:42.6
2,Isaac Young,7173,11.37,6.87m,12.94m,1.92m,53.28,15.1,41.38m,4.45m,52.13m,04:45.0
3,William Ott,7105,10.63,6.80m,11.41m,1.92m,49.22,15.44,32.14m,4.35m,46.78m,04:40.2
4,Paul Kallenberg,7077,11.08,6.90m,13.05m,1.86m,50.17,16.38,37.91m,4.45m,51.92m,04:51.1
5,Sam Corley,7014,11.18,6.83m,12.51m,1.92m,50.91,15.32,33.70m,4.25m,50.81m,04:46.4
7,Derek Pekar,6658,11.22,6.91m,11.65m,1.92m,53.15,16.42,36.11m,4.55m,45.08m,05:10.7
8,Michael Bennett,6425,11.05,6.78m,11.59m,1.77m,51.11,15.39,32.10m,3.45m,38.13m,04:41.4
