Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Darius Walker,7222,10.84,6.95,11.77,1.83,47.75,14.55,37.55,4.15,47.83,04:49.6
2,Zac Preble,7193,11.36,6.49,15.08,1.86,50.39,16.35,41.78,4.65,52.82,04:50.5
3,Brent Vogel,7072,11.35,6.62,11.02,1.92,48.99,15.12,33.76,4.15,52.43,04:26.8
4,Talor Fulfer,6794,11.54,6.7,12.16,1.92,52.51,16.31,37.67,4.25,58.19,05:02.8
5,Ricky Kump,6770,11.11,6.39,11.36,1.98,48.63,15.89,31.2,3.75,46.01,04:34.2
6,James Hardin,6718,11.39,6.46,11.61,1.8,51.8,15.46,37.21,4.55,48.93,05:00.2
7,Craig Saalfield,6620,11.61,6.57,10.5,2.01,50.34,15.23,35.18,3.65,37.58,04:32.1
8,Eldon Grimslid,6535,11.51,6.32,12.19,1.8,53.4,16.02,41.13,3.95,65.13,05:33.6
