Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,J Patrick Smith,7612,10.68,7.5,11.71,1.96,49.33,14.95,37.5,4.5,58.27,04:53.0
2,Justin Balczak,7387,11.21,7.23,13.37,1.96,49.8,14.34,33.84,4.4,54.61,04:59.4
3,Brent Vogel,7384,10.97,7,12.65,1.84,48.41,14.56,35.2,4.6,50.58,04:45.0
4,Tyler Grob,7230,11.03,6.28,12.04,1.84,49.34,15.28,38.28,5,45.52,04:31.6
5,Nick Lebron,7189,11.16,6.63,12.08,2.02,49.89,14.5,35.96,4,47.4,04:33.3
6,Payson Maydew,6809,11.43,6.15,11.69,1.9,50.37,15.29,36.83,4.3,43.54,04:35.1
7,Henrik Holmberg,6749,10.98,7.06,11.31,1.96,50.69,15.45,36.24,3.9,43.59,05:15.8
8,Scott Hubbard,6674,11.26,6.89,11.89,1.75,54.81,15.81,36.9,4.2,60.43,05:07.3
