Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Florian Obst,7576,11.02,6.82,15,1.87,49.97,15.06,41.4,4.9,54.9,04:56.5
2,Tanner McNutt,7406,11,7.33,11.46,1.9,48.69,15.6,36.74,4.8,48.32,04:37.3
3,Blake Seitz,7362,11.35,6.88,12.67,1.96,51.16,15.96,42.09,4.3,62.33,04:37.2
4,Harry Maslen,7065,11.25,6.97,11.7,1.84,49.67,15.47,34.18,4.5,48.18,04:35.3
5,Jason Dunn,7008,10.91,6.9,12.97,1.81,49.95,16.65,41.83,4,60.49,05:11.8
6,Sam Black,6982,11.26,6.69,13.21,2.05,50.48,15.79,30.71,4,50.68,04:42.7
7,Lane Andrews,6889,11.49,6.74,11.25,1.81,50.22,16.16,36.16,4.5,50.1,04:32.6
8,Austin Smith,6885,10.81,6.71,13.07,1.75,49.92,15.8,37.29,4.2,43.04,04:47.0
