Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Cody Thomas,7590,11.12,7.53,11.93,1.99,47.88,14.74,37.35,4.5,50.74,04:44.7
2,Shakiel Chattoo,7348,10.86,7.33,12.15,1.99,52.02,14.21,41.99,4.1,58.29,05:26.0
3,Justin Balczak,7337,11.64,7.04,12.32,1.99,50.53,14.63,39.47,4.6,51.58,04:48.2
4,Blake Seitz,7219,11.52,6.78,13.64,1.93,51.5,15.7,41.05,4.4,53.71,04:38.8
5,Tanner McNutt,7128,11.09,7.29,12.05,1.87,48.93,15.41,34.39,4.5,42.42,04:44.2
6,Dan Golubovic,7116,11.75,6.69,12.56,1.84,52.36,14.98,41.87,4.6,54.05,04:41.7
7,Jayce Thomas,7030,11.64,7.09,10.99,2.08,52.56,14.9,30.91,4.8,44.1,04:44.2
8,John Braga,7013,11.35,7.09,10.46,1.99,50.15,15.63,32.85,4.2,49.52,04:32.4
