Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,J Patrick Smith,7645,10.78,7.59,12.92,1.92,49.64,14.78,38.92,4.4,51.25,04:37.3
2,Theodore Elsenbaumer,7438,10.77,7.13,12.5,1.83,48.86,16.01,42.78,4.5,50.6,04:34.8
3,Payson Maydew,7413,11.13,6.71,12.92,1.95,49.87,14.93,36.41,4.6,49.59,04:26.0
4,Tyler Grob,7384,11.04,6.78,14.43,1.95,49.85,15.68,38.32,4.7,43.99,04:34.2
5,Nick Lebron,7377,11.07,6.17,12.88,1.98,49.42,14.49,41.31,4.4,44.77,04:25.4
6,John Brunk,7351,11.11,7.05,10.39,1.92,48.56,15.66,41.01,4.6,46.37,04:23.9
7,Cody Thomas,7189,11.02,6.88,11.96,1.98,48.21,15.23,37.68,3.9,49.25,04:44.6
8,Matt Rich,7006,11.13,7.07,11.71,1.77,50.83,15.03,35.64,4.7,45.99,04:52.2
