Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Sam Black,7583,10.73,6.92,13.81,2,48.29,14.52,38.19,4.3,49.07,04:46.8
2,Trey Mooney,7189,11.12,7.1,13.9,2,50.1,14.84,35.97,4.3,35.43,04:44.5
3,Johnathon Harper,7156,11.03,6.81,13.04,1.79,49.52,14.75,36.5,4.7,42.06,04:46.2
4,Connor McLean,7136,11.3,6.83,11.86,1.91,52.01,15.58,35.29,5.2,44.19,04:37.3
5,Garrett Francis,7129,11.29,6.9,12.1,1.91,49.84,14.9,37.32,4.6,44.69,04:51.0
6,Loic Rodrigues,6912,11.4,6.66,12.52,1.88,50.82,15.68,37.42,4.5,43.16,04:42.5
7,Logan Stock,6874,11.47,6.81,11.23,2.03,52.57,15.65,36.4,4.1,49.51,04:42.6
8,Lincoln Krog,6767,11.2,6.97,11.82,1.82,51.48,15.96,32.16,4.4,44.74,04:41.7
