Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Hunter Jones,7898,11.29,7.12,13.68,2.19,51.02,14.5,41.24,5.1,56.75,04:58.4
2,Cale Kassen,7579,10.76,7.41,11.86,2.01,50.56,13.79,36.85,4.5,52.25,04:58.9
3,Kelmen deCarvalho,7518,10.98,7.09,14.97,1.77,50.68,15.34,45.68,4.7,54.89,04:57.6
4,Mark Burdin,7359,11.18,7.08,14.45,1.95,51.95,15.26,43.6,4.5,48.61,04:56.5
5,Lincoln Krog,7346,11.15,7.12,12.57,1.95,49.29,15.19,37.95,4.4,49.22,04:41.3
6,Dawson Heide,7226,10.81,7,12.24,1.89,49.52,14.92,31.9,4.4,54.71,04:54.0
7,Ryan Brenner,7198,11.25,6.33,13.68,1.89,50.01,15.57,36.29,4.6,56.24,04:43.0
8,Brett Glaser,7189,11.2,6.79,13.17,1.83,49.57,15.26,36.77,4.3,54.19,04:41.4
