Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Hunter Jones,7639,11.26,6.84,12.28,2.14,51.33,14.41,44.71,4.8,54.52,05:00.0
2,Lincoln Krog,7607,11.04,7.04,13.07,1.96,48.52,14.91,39.56,4.5,54.47,04:40.4
3,Mark Burdin,7582,11,7.18,14.84,1.99,51.2,14.72,43.09,4.6,49.34,05:01.9
4,Romet Vahter,7421,11.08,7.47,14.02,1.96,48.63,14.28,36.94,4.3,45.63,05:09.3
5,Nolan Churchman,7360,10.69,7.06,11.39,1.99,47.93,15.19,39.24,4.6,45.98,05:05.3
6,Otto Knittel,7333,11.06,6.6,12.95,1.84,48.52,15.01,41.1,4.4,55.41,04:49.4
7,Justin Moeller,7204,11.24,6.9,10.97,1.9,49.72,14.73,34.69,4.9,53.68,05:00.3
8,Matthew Muthler,7073,11.19,6.45,11.98,1.93,48.87,15.34,36.72,4,53.29,04:37.7
