Final Place,Athlete,POINTS,100m,LJ,SP,HJ,400m,110mH,DT,PV,JT,1500m
1,Justin Balczak,7425,11.37,7.06,13,2.02,50.36,14.71,35.45,4.55,53.59,04:44.0
2,Theo Mancheron,7347,11.67,6.79,13.55,1.87,51.47,15.24,40.48,4.95,54.65,04:39.7
3,Payson Maydew,7222,11.38,6.54,12.42,1.93,49.96,15.13,40.79,4.45,48.11,04:32.7
4,Phill Bailey,7192,11.13,7.34,10.89,1.87,48.29,14.47,31.93,4.45,46.83,04:46.9
5,Tomek Czerwinski,7113,11.41,6.81,12.4,1.96,51.48,15.34,36.66,4.55,50.23,04:44.2
6,Blake Seitz,7018,11.57,6.71,13.43,1.96,52.72,16.01,41.01,4.15,54.02,04:43.9
7,Tanner McNutt,6995,11.05,7.17,12.6,1.9,49.95,15.94,34.08,4.45,41.1,04:48.4
8,Hendrik Nungess,6938,12,6.49,13.78,1.84,54.44,16.57,46.97,4.25,66,04:53.1
